#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM	up or down
FVEG_04438	NA	6.98396	1	8.28202	0.14626	48.4284	u
FVEG_04526	NA	-4.69248	1	-4.76522	180.1	6.03711	d
FVEG_04527	NA	-5.42865	1	-5.51551	128.616	2.56245	d
FVEG_04557	NA	-5.54966	1	-5.69707	43.7579	0.767864	d
FVEG_04617	NA	-6.27447	1	-6.35029	396.928	4.43419	d
FVEG_04669	NA	-4.36102	1	-4.82519	22.8555	0.724426	d
FVEG_04694	NA	-5.78666	1	-5.905	106.807	1.6236	d
FVEG_04695	NA	-5.20506	1	-5.28724	201.255	4.69738	d
FVEG_04696	NA	-5.95894	1	-6.09436	343.202	4.57365	d
FVEG_04761	NA	-5.08958	1	-5.12082	862.578	22.6037	d
FVEG_04764	NA	-5.90479	1	-6.20281	13.8007	0.169573	d
FVEG_04837	NA	-4.68897	1	-4.76716	140.226	4.69394	d
FVEG_04838	NA	-6.18735	1	-6.28308	141.453	1.65512	d
FVEG_04863	NA	4.09769	1	4.24018	4.45011	76.8285	u
FVEG_04882	NA	4.10996	1	4.51756	0.985344	20.9256	u
FVEG_04931	NA	-5.02094	1	-5.43615	14.13	0.293622	d
FVEG_05002	NA	-5.0157	1	-5.70181	34.0038	0.571237	d
FVEG_05003	NA	-4.98892	1	-5.04309	120.587	3.33447	d
FVEG_05011	NA	4.27478	1	4.53866	2.22638	47.499	u
FVEG_05156	NA	-4.82127	1	-4.91692	163.444	4.93063	d
FVEG_05238	NA	-4.62239	1	-4.76393	30.4357	1.0202	d
FVEG_05239	NA	-4.81465	1	-4.8825	107.142	3.31118	d
FVEG_05371	NA	-4.52737	1	-6.05795	4.05377	0.0450912	d
FVEG_05461	NA	6.52259	1	6.98202	0.703295	82.8693	u
FVEG_05521	NA	-4.21529	1	-4.30647	45.7354	2.10676	d
FVEG_05530	NA	7.91754	1	8.6048	0.341618	128.01	u
FVEG_05535	NA	-4.67874	1	-4.81795	61.5433	1.98715	d
FVEG_05572	NA	-4.74495	1	-4.79347	389.918	12.8192	d
FVEG_05582	NA	-5.51956	1	-5.77144	18.7205	0.310959	d
FVEG_05583	NA	-4.8112	1	-5.53369	3.92607	0.0738334	d
FVEG_05628	NA	8.74252	1	10.1688	0.166101	217.927	u
FVEG_05677	NA	-5.48097	1	-5.88053	11.0099	0.168156	d
FVEG_05678	NA	-5.8716	1	-6.29998	10.8246	0.123254	d
FVEG_05679	NA	-5.66844	1	-5.79164	176.741	2.90608	d
FVEG_05692	NA	-4.11294	1	-4.33771	30.9403	1.39147	d
FVEG_05694	NA	-4.15636	1	-5.43299	1.20261	0.0231243	d
FVEG_05698	NA	-4.07726	1	-5.83931	0.45711	0.00500513	d
FVEG_05701	NA	7.2611	1	7.85774	0.681522	149.915	u
FVEG_05710	NA	-4.72339	1	-5.157	6.25694	0.157703	d
FVEG_05714	NA	-7.21887	1	-7.25339	4271.76	25.5272	d
FVEG_05715	NA	-5.76526	1	-5.89128	263.76	4.0472	d
FVEG_05716	NA	-5.2409	1	-5.61913	14.7126	0.269862	d
FVEG_05735	NA	-4.4135	1	-5.04826	1.83749	0.0491055	d
FVEG_05745	NA	5.26465	1	6.69319	0.29453	34.7263	u
FVEG_05749	NA	-4.14226	1	-4.54371	6.09488	0.235939	d
FVEG_05750	NA	-4.73552	1	-4.95218	28.1729	0.827276	d
FVEG_05755	NA	-5.45375	1	-5.74497	10.5317	0.17787	d
FVEG_05761	NA	-6.83276	1	-7.04338	152.662	1.05125	d
FVEG_05762	NA	-4.45411	1	-4.61973	28.7764	1.06555	d
FVEG_05769	NA	-6.38171	1	-8.02374	2.15864	0.00507619	d
FVEG_05770	NA	-4.29832	1	-5.15949	1.69423	0.0407394	d
FVEG_05771	NA	-5.49403	1	-6.16838	8.48679	0.103047	d
FVEG_05779	NA	-4.01882	1	-4.60815	2.22176	0.08119	d
FVEG_05783	NA	-4.78388	1	-5.52427	2.14527	0.0405091	d
FVEG_05793	NA	-5.53428	1	-6.13858	3.52455	0.0441052	d
FVEG_05836	NA	4.7762	1	6.3883	0.0296979	3.40005	u
FVEG_05845	NA	4.04626	1	5.4781	0.0473788	2.40503	u
FVEG_05878	NA	4.32551	1	5.93904	0.0329141	2.75916	u
FVEG_05895	NA	-6.03374	1	-6.22722	21.0812	0.25581	d
FVEG_05896	NA	-6.20499	1	-6.36902	115.119	1.26722	d
