# This file is generated by gfold V1.1.1						
# Normalization constants :						
#    7600_Gfold.read_cnt	46669976	1				
#    FV013_Gfold.read_cnt	266393578	5.20494				
# The GFOLD value could be considered as a reliable log2 fold change.						
# It is positive/negative if the gene is up/down regulated.						
# A gene with zero GFOLD value should never be considered as 						
# differentially expressed. For a comprehensive description of 						
"# GFOLD, please refer to the manual."						
#GeneSymbol	GeneName	GFOLD(0.01)	E-FDR	log2fdc	7600 RPKM	FV013 RPKM
FVEG_00380	NA	0.305806	1	0.390666	7.43724	8.89517
FVEG_00381	NA	0.45686	1	0.472744	876.259	1108.87
FVEG_00382	NA	1.26413	1	1.49277	2.18229	5.62454
FVEG_00383	NA	-0.0606586	1	-0.202667	6.31373	5.00828
FVEG_00384	NA	2.02091	1	2.27163	1.9438	8.60652
FVEG_00385	NA	-0.540267	1	-0.629153	26.3211	15.5239
FVEG_00386	NA	-5.78614	1	-5.8269	1087.17	17.4623
FVEG_00387	NA	-0.811381	1	-0.878914	19.142	9.49338
FVEG_00388	NA	-0.311139	1	-0.350108	78.2016	55.9483
FVEG_00389	NA	-0.877061	1	-0.938696	38.2806	18.2138
FVEG_00390	NA	-3.92614	1	-4.09152	35.8584	1.91545
FVEG_00391	NA	0.11969	1	0.215314	30.2044	31.9944
FVEG_00392	NA	2.63861	1	2.88745	1.05813	7.18005
FVEG_00393	NA	-0.576554	1	-0.656113	33.7573	19.5396
FVEG_00394	NA	-0.671695	1	-0.712148	39.347	21.9026
FVEG_00395	NA	0.816818	1	1.11655	4.55507	9.07179
FVEG_00396	NA	0	1	0.427474	0.0281564	0.0641261
FVEG_00397	NA	0	1	0.00011666	3.19249	2.93253
FVEG_00398	NA	-1.59364	1	-1.70069	13.3267	3.73933
FVEG_00399	NA	-0.694321	1	-0.720818	335.527	185.645
FVEG_00400	NA	0	1	0.0460542	30.3529	28.5818
FVEG_00401	NA	4.00871	1	6.74682	0	3.3568
FVEG_00402	NA	-0.0407162	1	-0.150253	15.4721	12.7216
FVEG_00403	NA	0.74077	1	0.754954	579.491	891.755
FVEG_00404	NA	-0.423039	1	-0.46256	87.6448	58.0024
FVEG_00405	NA	-2.90426	1	-3.03856	60.2754	6.68674
FVEG_00406	NA	-2.27676	1	-2.34345	26.967	4.84525
FVEG_00408	NA	0	1	-0.0293832	0.526895	0.51282
FVEG_00409	NA	0.0265322	1	0.0973303	42.4474	41.4206
FVEG_00410	NA	0.0853061	1	0.181914	19.7788	20.4716
FVEG_00411	NA	0.0946775	1	0.183779	17.9943	18.647
FVEG_00412	NA	-0.435151	1	-0.492373	31.0573	20.1347
FVEG_00413	NA	0.188761	1	0.246653	90.7235	98.1733
FVEG_00414	NA	-0.0368674	1	-0.136034	18.7619	15.5775
FVEG_00415	NA	0	1	0.0518608	9.30254	8.80272
FVEG_00416	NA	-0.364807	1	-0.424842	44.8513	30.4716
FVEG_00417	NA	-0.124935	1	-0.217864	22.713	17.8167
FVEG_00418	NA	-1.88088	1	-1.93362	149.184	35.6114
FVEG_00422	NA	-4.00094	1	-4.34979	6.23918	0.277112
FVEG_00423	NA	-0.715183	1	-0.750821	108.115	58.5898
FVEG_00424	NA	-5.97218	1	-6.11002	65.75	0.866707
FVEG_00425	NA	-3.81739	1	-4.34099	2.23736	0.0990688
